area_feasible,area_alone,proportion,convex,feasibility,distance,detection,parameter,vero_model,trcy_model,environment
86154.68128763506,150579.18066204994,0.5721553332196367,0,1,1.0027011308937273,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85793.80149271082,150579.18066204994,0.5697587217270149,0,1,0.941453901429171,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86020.10982997973,150579.18066204994,0.5712616408973404,0,1,1.31388045469514,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86177.41136996725,150579.18066204994,0.5723062842490702,0,1,0.14265953367366446,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86028.3092430197,150579.18066204994,0.5713160933987017,0,1,0.9665355446169173,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85658.50732262128,150579.18066204994,0.568860229853871,0,1,1.6119621341002315,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86146.77365398419,150579.18066204994,0.5721028184322929,0,1,0.789623149898151,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86052.4296773883,150579.18066204994,0.5714762777898144,0,1,0.6284922466900502,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86111.48058583101,150579.18066204994,0.5718684363085623,0,1,0.773545492555102,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85731.73426466773,150579.18066204994,0.5693465317564612,0,1,4.929548138813338,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85987.96684543308,150579.18066204994,0.5710481785554329,0,1,0.4851475370482986,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86091.0882085202,150579.18066204994,0.5717330100350154,0,1,1.6927765806487916,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85764.24029836999,150579.18066204994,0.5695624051166385,0,1,0.7942346391771258,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85965.15274082718,150579.18066204994,0.5708966695320368,0,1,0.20072531670525606,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85899.03228115485,150579.18066204994,0.5704575619516818,0,1,1.4873809140077956,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85963.67309098493,150579.18066204994,0.5708868431414578,0,1,0.628104171063719,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85871.30829899239,150579.18066204994,0.5702734463120525,0,1,1.4582394576398272,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86181.74096523532,150579.18066204994,0.5723350371965165,0,0,-0.3582465491780442,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85809.40197493663,150579.18066204994,0.5698623249087909,0,1,1.9901669801615647,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86069.37936051628,150579.18066204994,0.5715888410475866,0,1,0.672149363044328,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85501.79680155861,150579.18066204994,0.5678195114731913,0,1,0.24004697906491046,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85687.16505463714,150579.18066204994,0.5690505465489801,0,1,3.2900100949636535,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85563.2863869571,150579.18066204994,0.5682278653048972,0,1,0.42977249024197306,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85725.05625507452,150579.18066204994,0.5693021829323818,0,1,1.839344276093613,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85753.74409604394,150579.18066204994,0.5694926995817837,0,1,1.9517448135838422,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86117.6142496966,150579.18066204994,0.5719091701194293,0,1,0.3958466055988077,1,lambda_i,Beverton-Holt,Beverton-Holt,open
